yr,m,i,Value
2017,trn,ppd,12.27905431
2017,trn,res,5.61E-12
2017,trn,com,5.62E-12
2017,trn,amb,5.62E-12
2017,trn,fbp,26.59717232
2017,trn,rec,5.65E-12
2017,trn,con,5.62E-12
2017,trn,agr,59.04980936
2017,trn,eec,7.98840442
2017,trn,fnd,5.62E-12
2017,trn,pub,4.420374607
2017,trn,hou,5.62E-12
2017,trn,ins,5.62E-12
2017,trn,tex,4.355544634
2017,trn,leg,5.58E-12
2017,trn,fen,5.53E-12
2017,trn,uti,5.61E-12
2017,trn,nmp,26.10112638
2017,trn,brd,5.61E-12
2017,trn,bnk,5.61E-12
2017,trn,ore,5.62E-12
2017,trn,edu,5.62E-12
2017,trn,ote,4.360716328
2017,trn,man,5.60E-12
2017,trn,mch,16.27051037
2017,trn,dat,5.58E-12
2017,trn,amd,5.61E-12
2017,trn,oil,53.24722001
2017,trn,hos,5.61E-12
2017,trn,rnt,5.58E-12
2017,trn,pla,6.248925915
2017,trn,fof,4.545277287
2017,trn,fin,5.63E-12
2017,trn,tsv,5.61E-12
2017,trn,nrs,5.64E-12
2017,trn,sec,5.61E-12
2017,trn,art,5.60E-12
2017,trn,mov,0.147159137
2017,trn,fpd,14.76505667
2017,trn,slg,5.62E-12
2017,trn,pri,3.363472556
2017,trn,grd,5.61E-12
2017,trn,pip,5.69E-12
2017,trn,sle,5.59E-12
2017,trn,osv,5.61E-12
2017,trn,trn,5.61E-12
2017,trn,smn,5.65E-12
2017,trn,fmt,12.79308064
2017,trn,pet,29.51295567
2017,trn,cep,10.60490781
2017,trn,wst,5.59E-12
2017,trn,mot,16.85712095
2017,trn,adm,5.62E-12
2017,trn,soc,5.65E-12
2017,trn,alt,7.694808796
2017,trn,pmt,13.32792682
2017,trn,trk,5.57E-12
2017,trn,fdd,5.62E-12
2017,trn,wtt,5.63E-12
2017,trn,wpd,8.425234627
2017,trn,wht,5.59E-12
2017,trn,wrh,5.57E-12
2017,trn,ott,5.60E-12
2017,trn,che,35.91743968
2017,trn,air,5.58E-12
2017,trn,mmf,15.23415712
2017,trn,otr,5.60E-12
2017,trn,min,31.7410307
2017,trd,ppd,45.32435563
2017,trd,res,5.59E-12
2017,trd,com,5.59E-12
2017,trd,amb,5.59E-12
2017,trd,fbp,456.2924259
2017,trd,rec,5.62E-12
2017,trd,con,5.59E-12
2017,trd,agr,90.28703798
2017,trd,eec,105.5189064
2017,trd,fnd,5.59E-12
2017,trd,pub,93.35636843
2017,trd,hou,5.59E-12
2017,trd,ins,5.59E-12
2017,trd,tex,69.16460403
2017,trd,leg,5.55E-12
2017,trd,fen,5.51E-12
2017,trd,uti,5.58E-12
2017,trd,nmp,45.60091115
2017,trd,brd,5.58E-12
2017,trd,bnk,5.59E-12
2017,trd,ore,5.59E-12
2017,trd,edu,5.59E-12
2017,trd,ote,27.86867913
2017,trd,man,5.57E-12
2017,trd,mch,170.0626574
2017,trd,dat,5.55E-12
2017,trd,amd,5.58E-12
2017,trd,oil,10.26188985
2017,trd,hos,5.59E-12
2017,trd,rnt,5.56E-12
2017,trd,pla,96.68187945
2017,trd,fof,10.50908132
2017,trd,fin,5.60E-12
2017,trd,tsv,5.59E-12
2017,trd,nrs,5.61E-12
2017,trd,sec,5.59E-12
2017,trd,art,5.57E-12
2017,trd,mov,10.40863214
2017,trd,fpd,84.08596107
2017,trd,slg,5.59E-12
2017,trd,pri,14.49398636
2017,trd,grd,5.58E-12
2017,trd,pip,5.66E-12
2017,trd,sle,5.57E-12
2017,trd,osv,5.58E-12
2017,trd,trn,5.58E-12
2017,trd,smn,5.62E-12
2017,trd,fmt,104.4448438
2017,trd,pet,137.0065459
2017,trd,cep,228.3629667
2017,trd,wst,5.56E-12
2017,trd,mot,206.9099092
2017,trd,adm,5.59E-12
2017,trd,soc,5.62E-12
2017,trd,alt,234.138872
2017,trd,pmt,34.38213666
2017,trd,trk,5.54E-12
2017,trd,fdd,5.59E-12
2017,trd,wtt,5.60E-12
2017,trd,wpd,35.25311585
2017,trd,wht,5.56E-12
2017,trd,wrh,5.55E-12
2017,trd,ott,5.57E-12
2017,trd,che,444.9273915
2017,trd,air,5.55E-12
2017,trd,mmf,201.8438062
2017,trd,otr,5.57E-12
2017,trd,min,7.9552322
2017,trn,fbt,0.00E+00
2017,trd,fbt,0
2017,trn,mvt,0.00E+00
2017,trd,mvt,0
2017,trn,gmt,0.00E+00
2017,trd,gmt,0
2016,trn,ppd,11.08089903
2016,trn,res,7.62E-12
2016,trn,com,7.62E-12
2016,trn,amb,7.62E-12
2016,trn,fbp,25.84787899
2016,trn,rec,7.64E-12
2016,trn,con,7.63E-12
2016,trn,agr,61.00985726
2016,trn,eec,7.375929529
2016,trn,fnd,7.62E-12
2016,trn,pub,3.889398311
2016,trn,hou,7.62E-12
2016,trn,ins,7.62E-12
2016,trn,tex,3.836077978
2016,trn,leg,7.58E-12
2016,trn,fen,7.55E-12
2016,trn,uti,7.60E-12
2016,trn,nmp,24.16130315
2016,trn,brd,7.60E-12
2016,trn,bnk,7.61E-12
2016,trn,ore,7.62E-12
2016,trn,edu,7.62E-12
2016,trn,ote,3.990675959
2016,trn,man,7.60E-12
2016,trn,mch,15.42137748
2016,trn,dat,7.59E-12
2016,trn,amd,7.61E-12
2016,trn,oil,50.66083433
2016,trn,hos,7.61E-12
2016,trn,rnt,7.58E-12
2016,trn,pla,6.091230358
2016,trn,fof,4.486982786
2016,trn,fin,7.63E-12
2016,trn,tsv,7.60E-12
2016,trn,nrs,7.64E-12
2016,trn,sec,7.61E-12
2016,trn,art,7.60E-12
2016,trn,mov,0.132966668
2016,trn,fpd,13.72533642
2016,trn,slg,7.62E-12
2016,trn,pri,3.068098498
2016,trn,grd,7.61E-12
2016,trn,pip,7.64E-12
2016,trn,sle,7.60E-12
2016,trn,osv,7.61E-12
2016,trn,trn,7.60E-12
2016,trn,smn,7.65E-12
2016,trn,fmt,12.34575693
2016,trn,pet,30.12836833
2016,trn,cep,10.03162315
2016,trn,wst,7.60E-12
2016,trn,mot,15.82452761
2016,trn,adm,7.62E-12
2016,trn,soc,7.65E-12
2016,trn,alt,6.885699401
2016,trn,pmt,12.19900292
2016,trn,trk,7.56E-12
2016,trn,fdd,7.62E-12
2016,trn,wtt,7.61E-12
2016,trn,wpd,7.320142898
2016,trn,wht,7.60E-12
2016,trn,wrh,7.60E-12
2016,trn,ott,7.61E-12
2016,trn,che,35.23051808
2016,trn,air,7.58E-12
2016,trn,mmf,14.44002158
2016,trn,otr,7.61E-12
2016,trn,min,27.39830444
2016,trd,ppd,43.83021086
2016,trd,res,7.57E-12
2016,trd,com,7.58E-12
2016,trd,amb,7.57E-12
2016,trd,fbp,431.9825416
2016,trd,rec,7.60E-12
2016,trd,con,7.58E-12
2016,trd,agr,85.42929638
2016,trd,eec,99.61550068
2016,trd,fnd,7.58E-12
2016,trd,pub,89.52821527
2016,trd,hou,7.58E-12
2016,trd,ins,7.58E-12
2016,trd,tex,65.85489001
2016,trd,leg,7.54E-12
2016,trd,fen,7.51E-12
2016,trd,uti,7.56E-12
2016,trd,nmp,41.49357705
2016,trd,brd,7.56E-12
2016,trd,bnk,7.56E-12
2016,trd,ore,7.58E-12
2016,trd,edu,7.57E-12
2016,trd,ote,26.37707813
2016,trd,man,7.56E-12
2016,trd,mch,161.0848393
2016,trd,dat,7.54E-12
2016,trd,amd,7.57E-12
2016,trd,oil,8.81723759
2016,trd,hos,7.57E-12
2016,trd,rnt,7.54E-12
2016,trd,pla,95.11963214
2016,trd,fof,9.41788093
2016,trd,fin,7.58E-12
2016,trd,tsv,7.56E-12
2016,trd,nrs,7.60E-12
2016,trd,sec,7.56E-12
2016,trd,art,7.56E-12
2016,trd,mov,9.661204355
2016,trd,fpd,79.1509229
2016,trd,slg,7.58E-12
2016,trd,pri,14.98115659
2016,trd,grd,7.57E-12
2016,trd,pip,7.60E-12
2016,trd,sle,7.56E-12
2016,trd,osv,7.57E-12
2016,trd,trn,7.56E-12
2016,trd,smn,7.60E-12
2016,trd,fmt,96.47583737
2016,trd,pet,123.0469543
2016,trd,cep,216.8584069
2016,trd,wst,7.55E-12
2016,trd,mot,199.8829012
2016,trd,adm,7.58E-12
2016,trd,soc,7.60E-12
2016,trd,alt,232.3674265
2016,trd,pmt,31.25561123
2016,trd,trk,7.52E-12
2016,trd,fdd,7.58E-12
2016,trd,wtt,7.57E-12
2016,trd,wpd,32.33752794
2016,trd,wht,7.56E-12
2016,trd,wrh,7.56E-12
2016,trd,ott,7.56E-12
2016,trd,che,430.1295304
2016,trd,air,7.54E-12
2016,trd,mmf,191.6773701
2016,trd,otr,7.57E-12
2016,trd,min,6.837147601
2015,trn,ppd,11.35515871
2015,trn,res,1.67E-11
2015,trn,com,1.67E-11
2015,trn,amb,1.67E-11
2015,trn,fbp,25.69057792
2015,trn,rec,1.67E-11
2015,trn,con,1.67E-11
2015,trn,agr,58.69870246
2015,trn,eec,7.469119346
2015,trn,fnd,1.67E-11
2015,trn,pub,3.795316049
2015,trn,hou,1.67E-11
2015,trn,ins,1.67E-11
2015,trn,tex,3.89159561
2015,trn,leg,1.66E-11
2015,trn,fen,1.66E-11
2015,trn,uti,1.66E-11
2015,trn,nmp,24.01213856
2015,trn,brd,1.66E-11
2015,trn,bnk,1.67E-11
2015,trn,ore,1.67E-11
2015,trn,edu,1.67E-11
2015,trn,ote,4.172602406
2015,trn,man,1.67E-11
2015,trn,mch,16.63157477
2015,trn,dat,1.66E-11
2015,trn,amd,1.67E-11
2015,trn,oil,52.73906065
2015,trn,hos,1.67E-11
2015,trn,rnt,1.66E-11
2015,trn,pla,6.281826489
2015,trn,fof,4.14224936
2015,trn,fin,1.67E-11
2015,trn,tsv,1.67E-11
2015,trn,nrs,1.67E-11
2015,trn,sec,1.66E-11
2015,trn,art,1.67E-11
2015,trn,mov,0.136237904
2015,trn,fpd,13.80584627
2015,trn,slg,1.67E-11
2015,trn,pri,2.916969014
2015,trn,grd,1.67E-11
2015,trn,pip,1.62E-11
2015,trn,sle,1.67E-11
2015,trn,osv,1.67E-11
2015,trn,trn,1.67E-11
2015,trn,smn,1.67E-11
2015,trn,fmt,12.98389929
2015,trn,pet,31.47420923
2015,trn,cep,10.25284341
2015,trn,wst,1.67E-11
2015,trn,mot,15.80998959
2015,trn,adm,1.67E-11
2015,trn,soc,1.67E-11
2015,trn,alt,7.140443541
2015,trn,pmt,13.57759596
2015,trn,trk,1.66E-11
2015,trn,fdd,1.67E-11
2015,trn,wtt,1.66E-11
2015,trn,wpd,7.010348375
2015,trn,wht,1.67E-11
2015,trn,wrh,1.67E-11
2015,trn,ott,1.67E-11
2015,trn,che,36.12425315
2015,trn,air,1.66E-11
2015,trn,mmf,14.8020356
2015,trn,otr,1.67E-11
2015,trn,min,33.09130468
2015,trd,ppd,43.63973932
2015,trd,res,1.66E-11
2015,trd,com,1.66E-11
2015,trd,amb,1.66E-11
2015,trd,fbp,427.4493175
2015,trd,rec,1.66E-11
2015,trd,con,1.66E-11
2015,trd,agr,85.18184611
2015,trd,eec,96.64387597
2015,trd,fnd,1.66E-11
2015,trd,pub,85.09899893
2015,trd,hou,1.66E-11
2015,trd,ins,1.66E-11
2015,trd,tex,64.36472765
2015,trd,leg,1.65E-11
2015,trd,fen,1.65E-11
2015,trd,uti,1.65E-11
2015,trd,nmp,38.45531234
2015,trd,brd,1.65E-11
2015,trd,bnk,1.65E-11
2015,trd,ore,1.66E-11
2015,trd,edu,1.66E-11
2015,trd,ote,25.45205106
2015,trd,man,1.65E-11
2015,trd,mch,164.2077502
2015,trd,dat,1.65E-11
2015,trd,amd,1.66E-11
2015,trd,oil,9.993932943
2015,trd,hos,1.66E-11
2015,trd,rnt,1.65E-11
2015,trd,pla,94.05151948
2015,trd,fof,9.243084007
2015,trd,fin,1.66E-11
2015,trd,tsv,1.65E-11
2015,trd,nrs,1.66E-11
2015,trd,sec,1.65E-11
2015,trd,art,1.65E-11
2015,trd,mov,9.403694272
2015,trd,fpd,78.02491852
2015,trd,slg,1.66E-11
2015,trd,pri,14.02567215
2015,trd,grd,1.66E-11
2015,trd,pip,1.61E-11
2015,trd,sle,1.66E-11
2015,trd,osv,1.65E-11
2015,trd,trn,1.65E-11
2015,trd,smn,1.66E-11
2015,trd,fmt,94.21823472
2015,trd,pet,131.8945824
2015,trd,cep,220.1138203
2015,trd,wst,1.65E-11
2015,trd,mot,192.3397755
2015,trd,adm,1.66E-11
2015,trd,soc,1.66E-11
2015,trd,alt,227.1577186
2015,trd,pmt,34.65233301
2015,trd,trk,1.65E-11
2015,trd,fdd,1.66E-11
2015,trd,wtt,1.65E-11
2015,trd,wpd,30.20292281
2015,trd,wht,1.65E-11
2015,trd,wrh,1.65E-11
2015,trd,ott,1.65E-11
2015,trd,che,424.8629643
2015,trd,air,1.65E-11
2015,trd,mmf,188.6278069
2015,trd,otr,1.66E-11
2015,trd,min,7.074341218
2014,trn,ppd,13.0476042
2014,trn,res,9.24E-12
2014,trn,com,9.24E-12
2014,trn,amb,9.23E-12
2014,trn,fbp,28.95314054
2014,trn,rec,9.27E-12
2014,trn,con,9.25E-12
2014,trn,agr,50.5859932
2014,trn,eec,8.324058531
2014,trn,fnd,9.24E-12
2014,trn,pub,4.432801097
2014,trn,hou,9.24E-12
2014,trn,ins,9.25E-12
2014,trn,tex,4.556006444
2014,trn,leg,9.17E-12
2014,trn,fen,9.16E-12
2014,trn,uti,9.21E-12
2014,trn,nmp,20.74256232
2014,trn,brd,9.21E-12
2014,trn,bnk,9.21E-12
2014,trn,ore,9.23E-12
2014,trn,edu,9.23E-12
2014,trn,ote,4.52908559
2014,trn,man,9.21E-12
2014,trn,mch,17.33781574
2014,trn,dat,9.19E-12
2014,trn,amd,9.24E-12
2014,trn,oil,54.01284051
2014,trn,hos,9.24E-12
2014,trn,rnt,9.17E-12
2014,trn,pla,5.837808532
2014,trn,fof,3.581923445
2014,trn,fin,9.25E-12
2014,trn,tsv,9.20E-12
2014,trn,nrs,9.27E-12
2014,trn,sec,9.21E-12
2014,trn,art,9.21E-12
2014,trn,mov,0.142471678
2014,trn,fpd,15.30581065
2014,trn,slg,9.24E-12
2014,trn,pri,3.424233613
2014,trn,grd,9.25E-12
2014,trn,pip,9.12E-12
2014,trn,sle,9.22E-12
2014,trn,osv,9.23E-12
2014,trn,trn,9.23E-12
2014,trn,smn,9.26E-12
2014,trn,fmt,12.96290974
2014,trn,pet,28.6163383
2014,trn,cep,10.72743755
2014,trn,wst,9.22E-12
2014,trn,mot,16.70364634
2014,trn,adm,9.22E-12
2014,trn,soc,9.27E-12
2014,trn,alt,8.156662906
2014,trn,pmt,15.83997475
2014,trn,trk,9.16E-12
2014,trn,fdd,9.24E-12
2014,trn,wtt,9.18E-12
2014,trn,wpd,7.703257742
2014,trn,wht,9.22E-12
2014,trn,wrh,9.22E-12
2014,trn,ott,9.22E-12
2014,trn,che,35.2050617
2014,trn,air,9.19E-12
2014,trn,mmf,16.98528176
2014,trn,otr,9.22E-12
2014,trn,min,36.35547901
2014,trd,ppd,42.4975511
2014,trd,res,9.17E-12
2014,trd,com,9.17E-12
2014,trd,amb,9.16E-12
2014,trd,fbp,407.4327434
2014,trd,rec,9.20E-12
2014,trd,con,9.18E-12
2014,trd,agr,84.92326548
2014,trd,eec,92.42125064
2014,trd,fnd,9.17E-12
2014,trd,pub,80.77354429
2014,trd,hou,9.17E-12
2014,trd,ins,9.18E-12
2014,trd,tex,62.27752681
2014,trd,leg,9.10E-12
2014,trd,fen,9.09E-12
2014,trd,uti,9.14E-12
2014,trd,nmp,35.96640614
2014,trd,brd,9.14E-12
2014,trd,bnk,9.14E-12
2014,trd,ore,9.16E-12
2014,trd,edu,9.16E-12
2014,trd,ote,24.41418523
2014,trd,man,9.13E-12
2014,trd,mch,163.6732397
2014,trd,dat,9.12E-12
2014,trd,amd,9.17E-12
2014,trd,oil,13.02016814
2014,trd,hos,9.17E-12
2014,trd,rnt,9.10E-12
2014,trd,pla,91.62677113
2014,trd,fof,10.50328411
2014,trd,fin,9.18E-12
2014,trd,tsv,9.12E-12
2014,trd,nrs,9.20E-12
2014,trd,sec,9.14E-12
2014,trd,art,9.14E-12
2014,trd,mov,9.144212611
2014,trd,fpd,71.91661232
2014,trd,slg,9.17E-12
2014,trd,pri,13.48441288
2014,trd,grd,9.17E-12
2014,trd,pip,9.05E-12
2014,trd,sle,9.15E-12
2014,trd,osv,9.16E-12
2014,trd,trn,9.16E-12
2014,trd,smn,9.19E-12
2014,trd,fmt,91.95907759
2014,trd,pet,144.5221743
2014,trd,cep,212.7237789
2014,trd,wst,9.15E-12
2014,trd,mot,177.227799
2014,trd,adm,9.15E-12
2014,trd,soc,9.20E-12
2014,trd,alt,218.2812085
2014,trd,pmt,36.90625573
2014,trd,trk,9.09E-12
2014,trd,fdd,9.17E-12
2014,trd,wtt,9.11E-12
2014,trd,wpd,27.9472566
2014,trd,wht,9.14E-12
2014,trd,wrh,9.15E-12
2014,trd,ott,9.15E-12
2014,trd,che,398.784734
2014,trd,air,9.12E-12
2014,trd,mmf,183.9628668
2014,trd,otr,9.15E-12
2014,trd,min,7.194814556
2013,trn,ppd,12.78131812
2013,trn,res,6.80E-12
2013,trn,com,6.80E-12
2013,trn,amb,6.79E-12
2013,trn,fbp,26.9276746
2013,trn,rec,6.82E-12
2013,trn,con,6.81E-12
2013,trn,agr,48.95321873
2013,trn,eec,7.430362241
2013,trn,fnd,6.80E-12
2013,trn,pub,4.230654224
2013,trn,hou,6.80E-12
2013,trn,ins,6.81E-12
2013,trn,tex,4.262861692
2013,trn,leg,6.75E-12
2013,trn,fen,6.74E-12
2013,trn,uti,6.78E-12
2013,trn,nmp,17.98895993
2013,trn,brd,6.77E-12
2013,trn,bnk,6.78E-12
2013,trn,ore,6.79E-12
2013,trn,edu,6.79E-12
2013,trn,ote,4.086182409
2013,trn,man,6.77E-12
2013,trn,mch,15.11775682
2013,trn,dat,6.76E-12
2013,trn,amd,6.80E-12
2013,trn,oil,48.83729016
2013,trn,hos,6.80E-12
2013,trn,rnt,6.74E-12
2013,trn,pla,5.395829244
2013,trn,fof,3.30753946
2013,trn,fin,6.81E-12
2013,trn,tsv,6.77E-12
2013,trn,nrs,6.82E-12
2013,trn,sec,6.78E-12
2013,trn,art,6.77E-12
2013,trn,mov,0.1421054
2013,trn,fpd,13.97526353
2013,trn,slg,6.80E-12
2013,trn,pri,3.358328763
2013,trn,grd,6.81E-12
2013,trn,pip,6.70E-12
2013,trn,sle,6.79E-12
2013,trn,osv,6.79E-12
2013,trn,trn,6.78E-12
2013,trn,smn,6.81E-12
2013,trn,fmt,11.46902904
2013,trn,pet,27.13193252
2013,trn,cep,9.896635059
2013,trn,wst,6.79E-12
2013,trn,mot,15.38656319
2013,trn,adm,6.78E-12
2013,trn,soc,6.82E-12
2013,trn,alt,7.668942936
2013,trn,pmt,14.4684719
2013,trn,trk,6.74E-12
2013,trn,fdd,6.80E-12
2013,trn,wtt,6.72E-12
2013,trn,wpd,7.039975318
2013,trn,wht,6.78E-12
2013,trn,wrh,6.78E-12
2013,trn,ott,6.78E-12
2013,trn,che,33.75308091
2013,trn,air,6.77E-12
2013,trn,mmf,15.5545991
2013,trn,otr,6.78E-12
2013,trn,min,32.62471529
2013,trd,ppd,41.64590488
2013,trd,res,6.74E-12
2013,trd,com,6.74E-12
2013,trd,amb,6.73E-12
2013,trd,fbp,395.8705646
2013,trd,rec,6.76E-12
2013,trd,con,6.75E-12
2013,trd,agr,81.58393232
2013,trd,eec,86.38911805
2013,trd,fnd,6.74E-12
2013,trd,pub,76.80756433
2013,trd,hou,6.74E-12
2013,trd,ins,6.75E-12
2013,trd,tex,58.47181906
2013,trd,leg,6.69E-12
2013,trd,fen,6.68E-12
2013,trd,uti,6.72E-12
2013,trd,nmp,33.11305509
2013,trd,brd,6.71E-12
2013,trd,bnk,6.72E-12
2013,trd,ore,6.73E-12
2013,trd,edu,6.73E-12
2013,trd,ote,23.68145372
2013,trd,man,6.71E-12
2013,trd,mch,155.1029979
2013,trd,dat,6.71E-12
2013,trd,amd,6.74E-12
2013,trd,oil,13.44695707
2013,trd,hos,6.74E-12
2013,trd,rnt,6.69E-12
2013,trd,pla,87.11638681
2013,trd,fof,9.687396511
2013,trd,fin,6.75E-12
2013,trd,tsv,6.71E-12
2013,trd,nrs,6.76E-12
2013,trd,sec,6.72E-12
2013,trd,art,6.72E-12
2013,trd,mov,9.23902512
2013,trd,fpd,68.70520575
2013,trd,slg,6.74E-12
2013,trd,pri,12.88190537
2013,trd,grd,6.75E-12
2013,trd,pip,6.64E-12
2013,trd,sle,6.73E-12
2013,trd,osv,6.73E-12
2013,trd,trn,6.72E-12
2013,trd,smn,6.75E-12
2013,trd,fmt,88.22751663
2013,trd,pet,140.7857527
2013,trd,cep,204.6748564
2013,trd,wst,6.73E-12
2013,trd,mot,163.7467071
2013,trd,adm,6.72E-12
2013,trd,soc,6.76E-12
2013,trd,alt,213.3696243
2013,trd,pmt,35.09513853
2013,trd,trk,6.68E-12
2013,trd,fdd,6.74E-12
2013,trd,wtt,6.67E-12
2013,trd,wpd,25.62344644
2013,trd,wht,6.72E-12
2013,trd,wrh,6.72E-12
2013,trd,ott,6.72E-12
2013,trd,che,374.7067094
2013,trd,air,6.71E-12
2013,trd,mmf,176.5657468
2013,trd,otr,6.72E-12
2013,trd,min,6.11259428
2012,trn,ppd,12.39997425
2012,trn,res,1.80E-12
2012,trn,com,1.79E-12
2012,trn,amb,1.80E-12
2012,trn,fbp,26.42074917
2012,trn,rec,1.80E-12
2012,trn,con,1.80E-12
2012,trn,agr,50.21202379
2012,trn,eec,6.930027858
2012,trn,fnd,1.80E-12
2012,trn,pub,4.334913921
2012,trn,hou,1.79E-12
2012,trn,ins,1.80E-12
2012,trn,tex,4.180802126
2012,trn,leg,1.78E-12
2012,trn,fen,1.78E-12
2012,trn,uti,1.79E-12
2012,trn,nmp,17.46948384
2012,trn,brd,1.79E-12
2012,trn,bnk,1.79E-12
2012,trn,ore,1.79E-12
2012,trn,edu,1.79E-12
2012,trn,ote,3.807558717
2012,trn,man,1.79E-12
2012,trn,mch,15.46188456
2012,trn,dat,1.79E-12
2012,trn,amd,1.80E-12
2012,trn,oil,45.13294453
2012,trn,hos,1.80E-12
2012,trn,rnt,1.78E-12
