yr,i,Value
1997,ppd,0.01036392
1997,res,0.056702661
1997,com,0.006287954
1997,amb,0.00043715
1997,fbp,0.054610135
1997,rec,0.035673935
1997,con,0.000862027
1997,agr,-0.015526024
1997,eec,0.025877273
1997,pub,0.019726404
1997,hou,-0.028684638
1997,ins,0.024167263
1997,tex,0.02662738
1997,leg,0.019722266
1997,uti,0.053239614
1997,nmp,0.017645538
1997,brd,0.059612754
1997,bnk,0.000289747
1997,ore,-0.001813647
1997,edu,0.000734605
1997,ote,0.007533199
1997,man,0.002106817
1997,mch,0.016729448
1997,dat,0.005429903
1997,amd,0.066636472
1997,oil,0.028483563
1997,hos,0.003041474
1997,rnt,0.026579525
1997,pla,0.020429204
1997,fof,0.008199157
1997,tsv,0.003084573
1997,nrs,0.00729873
1997,sec,0.003882975
1997,art,0.035823128
1997,mov,0.017393924
1997,fpd,0.038161158
1997,pri,0.007800058
1997,grd,0.001551026
1997,pip,0.077114428
1997,osv,0.021183473
1997,trn,-0.262970649
1997,fmt,0.012692032
1997,pet,0.20783458
1997,cep,0.013005585
1997,wst,0.010218113
1997,mot,0.023207285
1997,adm,0.007791284
1997,soc,0.002992048
1997,alt,0.054609569
1997,pmt,0.002264161
1997,trk,0.008108108
1997,wtt,0.002380413
1997,wpd,0.014957069
1997,wht,3.02893E-05
1997,wrh,0.000183103
1997,che,0.01853462
1997,air,0.066308634
1997,mmf,0.034150553
1997,otr,0.002360128
1997,min,0.028449371
1998,ppd,0.010567376
1998,res,0.05610803
1998,com,0.006252109
1998,amb,0.000470585
1998,fbp,0.055111746
1998,rec,0.03960396
1998,con,0.000862415
1998,agr,-0.032103386
1998,eec,0.026413156
1998,pub,0.019252015
1998,hou,-0.02468272
1998,ins,0.023717949
1998,tex,0.027765169
1998,leg,0.024282853
1998,uti,0.052596042
1998,nmp,0.019135841
1998,brd,0.057334692
1998,bnk,0.000147389
1998,ore,-0.003320017
1998,edu,0.000752325
1998,ote,0.006767162
1998,man,0.002083255
1998,mch,0.018740758
1998,dat,0.005750761
1998,amd,0.068410031
1998,oil,0.029647556
1998,hos,0.003032249
1998,rnt,0.02609542
1998,pla,0.01998209
1998,fof,0.006409952
1998,tsv,0.003227057
1998,nrs,0.007292274
1998,sec,0.004061226
1998,art,0.039515189
1998,mov,0.018779391
1998,fpd,0.037774267
1998,pri,0.008361528
1998,grd,0.002000824
1998,pip,0.075324675
1998,osv,0.020022153
1998,trn,-0.172491545
1998,fmt,0.012890647
1998,pet,0.248663269
1998,cep,0.0136399
1998,wst,0.009769366
1998,mot,0.022303383
1998,adm,0.007414493
1998,soc,0.003048418
1998,alt,0.056357052
1998,pmt,0.003062049
1998,trk,0.008065777
1998,wtt,0.006990089
1998,wpd,0.015939261
1998,wht,6.03182E-05
1998,wrh,0.000338421
1998,che,0.019047269
1998,air,0.078169633
1998,mmf,0.035317683
1998,otr,0.002227424
1998,min,0.027281892
1999,ppd,0.010703518
1999,res,0.056758122
1999,com,0.005868271
1999,amb,0.000494374
1999,fbp,0.055196704
1999,rec,0.037652319
1999,con,0.000882006
1999,agr,-0.063610443
1999,eec,0.02639792
1999,pub,0.018757655
1999,hou,-0.022758809
1999,ins,0.022838648
1999,tex,0.029082979
1999,leg,0.024726375
1999,uti,0.047706626
1999,nmp,0.019005325
1999,brd,0.056650928
1999,bnk,3.65119E-05
1999,ore,-0.005477334
1999,edu,0.000734
1999,ote,0.007713638
1999,man,0.002013234
1999,mch,0.020505544
1999,dat,0.005708064
1999,amd,0.069725696
1999,oil,0.024155296
1999,hos,0.003014771
1999,rnt,0.026250782
1999,pla,0.020571454
1999,fof,0.006889661
1999,tsv,0.003323982
1999,nrs,0.007218016
1999,sec,0.00349655
1999,art,0.042387016
1999,mov,0.019226933
1999,fpd,0.036518761
1999,pri,0.007765576
1999,grd,0.002174488
1999,pip,0.081632653
1999,osv,0.021036287
1999,trn,-0.192946588
1999,fmt,0.012999515
1999,pet,0.226678315
1999,cep,0.01365434
1999,wst,0.009818214
1999,mot,0.023949934
1999,adm,0.007345733
1999,soc,0.002995814
1999,alt,0.05453225
1999,pmt,0.003973779
1999,trk,0.007808191
1999,wtt,0.011549038
1999,wpd,0.01538841
1999,wht,8.67353E-05
1999,wrh,0.000376258
1999,che,0.018640009
1999,air,0.079671179
1999,mmf,0.034875733
1999,otr,0.002092558
1999,min,0.02839182
2000,ppd,0.010882795
2000,res,0.056722107
2000,com,0.006068867
2000,amb,0.000502687
2000,fbp,0.056409854
2000,rec,0.03165665
2000,con,0.00087442
2000,agr,-0.066820597
2000,eec,0.025431523
2000,pub,0.018869868
2000,hou,-0.019964163
2000,ins,0.02093609
2000,tex,0.031256842
2000,leg,0.023925996
2000,uti,0.04238601
2000,nmp,0.019827998
2000,brd,0.055267103
2000,bnk,9.42869E-06
2000,ore,-0.005485399
2000,edu,0.000741051
2000,ote,0.009834244
2000,man,0.001907207
2000,mch,0.020454508
2000,dat,0.006929458
2000,amd,0.0688937
2000,oil,0.022827263
2000,hos,0.002878613
2000,rnt,0.025169084
2000,pla,0.020440285
2000,fof,0.0081603
2000,tsv,0.00314722
2000,nrs,0.006691869
2000,sec,0.003113177
2000,art,0.039450387
2000,mov,0.017931915
2000,fpd,0.036933361
2000,pri,0.007892484
2000,grd,0.002278836
2000,pip,0.048969072
2000,osv,0.020975869
2000,trn,-0.193879935
2000,fmt,0.013179939
2000,pet,0.176559385
2000,cep,0.012705875
2000,wst,0.009266989
2000,mot,0.022554462
2000,adm,0.006390117
2000,soc,0.002933596
2000,alt,0.053745975
2000,pmt,0.004404563
2000,trk,0.007572548
2000,wtt,0.006236488
2000,wpd,0.016157345
2000,wht,8.40713E-05
2000,wrh,0.000376691
2000,che,0.01785673
2000,air,0.079311453
2000,mmf,0.033894193
2000,otr,0.001962634
2000,min,0.02986255
2001,ppd,0.011272218
2001,res,0.058948358
2001,com,0.005616154
2001,amb,0.000512582
2001,fbp,0.056315981
2001,rec,0.031581322
2001,con,0.000873042
2001,agr,-0.064414919
2001,eec,0.026948552
2001,pub,0.018623045
2001,hou,-0.019531063
2001,ins,0.019889217
2001,tex,0.034309499
2001,leg,0.025585476
2001,uti,0.026007347
2001,nmp,0.021558311
2001,brd,0.057650113
2001,bnk,4.44848E-06
2001,ore,-0.00365578
2001,edu,0.000580259
2001,ote,0.008830109
2001,man,0.002072912
2001,mch,0.022872021
2001,dat,0.007298512
2001,amd,0.070616587
2001,oil,0.02529466
2001,hos,0.001542474
2001,rnt,0.026239587
2001,pla,0.021193776
2001,fof,0.008061871
2001,tsv,0.003085878
2001,nrs,0.005255674
2001,sec,0.003273672
2001,art,0.038237973
2001,mov,0.017455232
2001,fpd,0.039969422
2001,pri,0.008012964
2001,grd,0.002618759
2001,pip,0.103918228
2001,osv,0.018899916
2001,trn,-0.149269993
2001,fmt,0.013902125
2001,pet,0.191349365
2001,cep,0.014263841
2001,wst,0.00943073
2001,mot,0.017767985
2001,adm,0.006614029
2001,soc,0.002963572
2001,alt,0.055778898
2001,pmt,0.005088653
2001,trk,0.007598784
2001,wtt,-0.006736408
2001,wpd,0.017594334
2001,wht,9.05811E-05
2001,wrh,0.000352399
2001,che,0.018321946
2001,air,0.037614486
2001,mmf,0.034790383
2001,otr,0.001857771
2001,min,0.032697888
2002,ppd,0.011664405
2002,res,0.057020032
2002,com,0.004961761
2002,amb,0.000497186
2002,fbp,0.05771137
2002,rec,0.032275147
2002,con,0.000871325
2002,agr,-0.031690696
2002,eec,0.027250522
2002,pub,0.017793788
2002,hou,-0.021660847
2002,ins,0.02117965
2002,tex,0.032331887
2002,leg,0.034977384
2002,uti,0.052512926
2002,nmp,0.019402452
2002,brd,0.058659292
2002,bnk,3.74544E-05
2002,ore,-0.001885994
2002,edu,0.000594318
2002,ote,0.009068268
2002,man,0.00205112
2002,mch,0.021011811
2002,dat,0.006552558
2002,amd,0.069180725
2002,oil,0.021844543
2002,hos,0.001555948
2002,rnt,0.028547467
2002,pla,0.020349116
2002,fof,0.007063504
2002,tsv,0.003020673
2002,nrs,0.005422925
2002,sec,0.003357065
2002,art,0.037025708
2002,mov,0.017776987
2002,fpd,0.035462917
2002,pri,0.007052297
2002,grd,0.002317561
2002,pip,0.094827586
2002,osv,0.019853766
2002,trn,-0.234230615
2002,fmt,0.013014583
2002,pet,0.201028493
2002,cep,0.01547003
2002,wst,0.009906911
2002,mot,0.022415512
2002,adm,0.006685873
2002,soc,0.003005923
2002,alt,0.050996965
2002,pmt,0.003956725
2002,trk,0.007925444
2002,wtt,-0.026526486
2002,wpd,0.016066778
2002,wht,0.000110705
2002,wrh,0.000375169
2002,che,0.016543472
2002,air,0.098257689
2002,mmf,0.03239706
2002,otr,0.001572018
2002,min,0.027884901
2003,ppd,0.011868221
2003,res,0.057937175
2003,com,0.004982276
2003,amb,0.000582464
2003,fbp,0.058677111
2003,rec,0.032732944
2003,con,0.000860885
2003,agr,-0.040300977
2003,eec,0.028373499
2003,pub,0.019429323
2003,hou,-0.022615975
2003,ins,0.021699197
2003,tex,0.034072189
2003,leg,0.057971138
2003,uti,0.053094498
2003,nmp,0.02004977
2003,brd,0.060002124
2003,bnk,0.000189263
2003,ore,-0.002692492
2003,edu,0.000510308
2003,ote,0.010452543
2003,man,0.002108998
2003,mch,0.020220481
2003,dat,0.00674384
2003,amd,0.069857463
2003,oil,0.021180411
2003,hos,0.001548735
2003,rnt,0.028433781
2003,pla,0.020625013
2003,fof,0.007788972
2003,tsv,0.002957667
2003,nrs,0.005783605
2003,sec,0.004045569
2003,art,0.037745681
2003,mov,0.017881487
2003,fpd,0.035984238
2003,pri,0.007704855
2003,grd,0.001958575
2003,pip,0.079155673
2003,osv,0.020162996
2003,trn,-0.220021075
2003,fmt,0.013624032
2003,pet,0.180622229
2003,cep,0.015553344
2003,wst,0.009973404
2003,mot,0.023094956
2003,adm,0.006553529
2003,soc,0.003107232
2003,alt,0.052291534
2003,pmt,0.004137004
2003,trk,0.008508149
2003,wtt,-0.017087063
2003,wpd,0.016883509
2003,wht,0.00033167
2003,wrh,0.000349314
2003,che,0.016673604
2003,air,0.069610639
2003,mmf,0.032112392
2003,otr,0.001516134
2003,min,0.030998532
2004,ppd,0.011807774
2004,res,0.058568633
2004,com,0.005202737
2004,amb,0.000673408
2004,fbp,0.058514082
2004,rec,0.031846689
2004,con,0.000860029
2004,agr,-0.02460106
2004,eec,0.028815138
2004,pub,0.01906755
2004,hou,-0.023110015
2004,ins,0.021903507
2004,tex,0.035336781
2004,leg,0.073573482
2004,uti,0.053020041
2004,nmp,0.020465175
2004,brd,0.061113604
2004,bnk,0.000180461
2004,ore,-0.001646189
2004,edu,0.000451381
2004,ote,0.011050915
2004,man,0.002114535
2004,mch,0.019331963
2004,dat,0.006807418
2004,amd,0.066681711
2004,oil,0.021463203
2004,hos,0.001318006
2004,rnt,0.029413842
2004,pla,0.02157303
2004,fof,0.006466979
2004,tsv,0.002870805
2004,nrs,0.005160654
2004,sec,0.00371487
2004,art,0.041297326
2004,mov,0.020194545
2004,fpd,0.037041906
2004,pri,0.008326328
2004,grd,0.001599407
2004,pip,0.071428571
2004,osv,0.0206175
2004,trn,-0.262911796
2004,fmt,0.014120695
2004,pet,0.152752334
2004,cep,0.015967028
2004,wst,0.010001259
2004,mot,0.02359044
2004,adm,0.006551568
2004,soc,0.003425395
2004,alt,0.052204984
2004,pmt,0.003582395
2004,trk,0.008032129
2004,wtt,-0.050649695
2004,wpd,0.017214036
2004,wht,0.000599585
2004,wrh,0.000588836
2004,che,0.016308366
2004,air,0.097173325
2004,mmf,0.03167514
2004,otr,0.001543883
2004,min,0.028885693
2005,ppd,0.011999357
2005,res,0.06057337
2005,com,0.005457914
2005,amb,0.000764308
2005,fbp,0.059919077
2005,rec,0.033062998
2005,con,0.000899642
2005,agr,-0.054238497
2005,eec,0.028939096
2005,pub,0.019746102
2005,hou,-0.023862758
2005,ins,0.020701933
2005,tex,0.036411683
2005,leg,0.094414798
2005,uti,0.049231517
2005,nmp,0.020848242
2005,brd,0.061347712
2005,bnk,8.24602E-05
2005,ore,-0.003098237
2005,edu,0.000404511
2005,ote,0.010787337
2005,man,0.002199555
2005,mch,0.017797772
2005,dat,0.006873512
2005,amd,0.068404084
2005,oil,0.021231553
2005,hos,0.001677808
2005,rnt,0.031073893
2005,pla,0.021425453
2005,fof,0.007510669
2005,tsv,0.002740943
2005,nrs,0.007256086
2005,sec,0.00454529
2005,art,0.041598468
2005,mov,0.02088227
2005,fpd,0.037407116
2005,pri,0.008186688
2005,grd,0.002174326
2005,pip,0.079096045
2005,osv,0.021629762
2005,trn,-0.287216148
2005,fmt,0.013941424
2005,pet,0.125009724
2005,cep,0.016387603
2005,wst,0.00963915
2005,mot,0.023114072
2005,adm,0.006458995
2005,soc,0.003477922
2005,alt,0.053094052
2005,pmt,0.003367099
2005,trk,0.008501621
2005,wtt,-0.026570203
2005,wpd,0.017582594
2005,wht,0.000899002
2005,wrh,0.000796164
2005,che,0.015968614
2005,air,0.094385861
2005,mmf,0.030606589
2005,otr,0.001670541
2005,min,0.028759946
2006,ppd,0.011916968
2006,res,0.062373366
2006,com,0.006101763
2006,amb,0.000844007
2006,fbp,0.061594572
2006,rec,0.032771214
2006,con,0.000999314
2006,agr,-0.029461791
2006,eec,0.027861094
2006,pub,0.020454925
2006,hou,-0.021716563
2006,ins,0.020204279
2006,tex,0.038406495
2006,leg,0.085247261
2006,uti,0.053595388
2006,nmp,0.021032056
2006,brd,0.059618846
2006,bnk,5.89131E-05
2006,ore,-0.001680249
2006,edu,0.000351281
2006,ote,0.011965212
2006,man,0.002085648
2006,mch,0.01720388
2006,dat,0.006656139
2006,amd,0.06860471
2006,oil,0.023101469
2006,hos,0.001620898
2006,rnt,0.032066432
2006,pla,0.022141089
2006,fof,0.007822456
2006,tsv,0.002709425
2006,nrs,0.007502712
2006,sec,0.003805609
2006,art,0.041056655
2006,mov,0.022680321
2006,fpd,0.038667033
2006,pri,0.009371856
2006,grd,0.002378678
2006,pip,0.090909091
2006,osv,0.022298221
2006,trn,-0.247051647
2006,fmt,0.014238526
2006,pet,0.117427458
2006,cep,0.016967183
2006,wst,0.009729473
2006,mot,0.024450977
2006,adm,0.006421246
2006,soc,0.003597609
2006,alt,0.054515927
2006,pmt,0.003011644
2006,trk,0.009374605
2006,wtt,-0.033265036
2006,wpd,0.018471208
2006,wht,0.001266333
2006,wrh,0.000981584
2006,che,0.016139122
2006,air,0.08427052
2006,mmf,0.03094044
2006,otr,0.001777589
2006,min,0.027204858
2007,ppd,0.012082588
2007,res,0.063126859
2007,com,0.006481314
2007,amb,0.000944425
2007,fbp,0.059371363
2007,rec,0.034038516
2007,con,0.001052934
2007,agr,-0.017820959
2007,eec,0.024129625
2007,pub,0.021487667
2007,hou,-0.025325384
2007,ins,0.01807153
2007,tex,0.039057811
2007,leg,0.072200776
2007,uti,0.052666702
2007,nmp,0.020347724
2007,brd,0.055204397
2007,bnk,-8.1477E-06
2007,ore,-0.000488372
2007,edu,0.000313942
2007,ote,0.009370752
2007,man,0.002071082
2007,mch,0.015115623
2007,dat,0.006665145
2007,amd,0.070494868
2007,oil,0.02543904
2007,hos,0.001640114
2007,rnt,0.034172794
